Date,Open,High,Low,Close,Adj Close,Volume,Dollar
17-04-2009,192.289246,199.163483,191.686508,195.387634,195.387634,21542043,48.41
20-04-2009,192.354004,194.595612,187.243164,188.941803,188.941803,8891001,48.41
21-04-2009,187.382645,191.432465,187.347778,190.022751,190.022751,7418503,48.41
22-04-2009,190.162231,194.27182,188.797348,191.213287,191.213287,7029851,48.41
23-04-2009,193.031464,194.147293,189.843414,191.62674,191.62674,5237558,48.41
24-04-2009,192.304199,195.855881,189.539566,194.017776,194.017776,6796179,48.41
27-04-2009,191.452393,194.017776,190.660355,192.254379,192.254379,4598371,48.41
28-04-2009,191.158493,193.798599,190.057617,191.138565,191.138565,5909267,48.41
29-04-2009,192.264343,196.747543,192.194611,195.004074,195.004074,7247062,48.41
30-04-2009,197.141068,201.121155,196.662857,197.245682,197.245682,8744052,48.41
01-05-2009,196.777435,198.052643,195.04393,196.10994,196.10994,4873599,48.41
04-05-2009,198.341568,200.448669,196.657883,200.239456,200.239456,6430011,48.41
05-05-2009,199.243195,201.74382,197.883286,200.742569,200.742569,4819598,48.41
06-05-2009,202.635468,203.377686,199.751282,200.981674,200.981674,5285538,48.41
07-05-2009,201.295502,201.738831,195.517151,197.564484,197.564484,6022088,48.41
08-05-2009,200.672836,204.29924,196.762482,202.904465,202.904465,7759175,48.41
11-05-2009,200.647919,205.230743,199.850906,203.228256,203.228256,5137786,48.41
12-05-2009,204.239456,204.727631,196.817276,198.759995,198.759995,7610018,48.41
13-05-2009,196.309189,197.454895,193.449905,194.042679,194.042679,5706911,48.41
14-05-2009,193.674057,195.372696,191.62674,193.026489,193.026489,5896017,48.41
15-05-2009,194.819763,196.319153,193.818527,194.27182,194.27182,6039955,48.41
18-05-2009,196.627991,197.913177,191.980408,197.679047,197.679047,6728526,48.41
19-05-2009,197.310425,200.070084,195.76622,198.695236,198.695236,5696271,48.41
20-05-2009,200.29425,202.07756,196.762482,197.848419,197.848419,4585122,48.41
21-05-2009,197.410065,200.667847,196.184647,197.509689,197.509689,5459989,48.41
22-05-2009,197.589386,198.580673,195.268082,196.015289,196.015289,3450083,48.41
26-05-2009,195.243179,201.74382,194.27182,201.425003,201.425003,6232273,48.41
27-05-2009,202.062622,205.161011,201.64917,202.022766,202.022766,6091347,48.41
28-05-2009,203.57695,205.041458,201.549545,204.433731,204.433731,5357607,48.41
29-05-2009,205.285538,207.835983,204.583176,207.835983,207.835983,5316252,48.41
01-06-2009,208.583176,213.997879,208.483551,212.483566,212.483566,6669706,48.41
02-06-2009,212.329132,214.177216,210.909454,213.400131,213.400131,5266868,48.41
03-06-2009,212.204605,215.422546,211.208344,215.019058,215.019058,7092084,48.41
04-06-2009,216.837234,219.796143,216.438736,219.317947,219.317947,7303473,48.41
05-06-2009,221.703995,222.834763,218.90947,221.330399,221.330399,7389193,48.41
08-06-2009,218.929398,219.636749,216.249451,218.565765,218.565765,6220629,48.41
09-06-2009,218.471115,219.427536,215.073853,216.996643,216.996643,6534200,48.41
10-06-2009,217.300507,218.127411,212.538361,215.492279,215.492279,6742980,48.41
11-06-2009,215.078827,216.055176,213.385178,213.699005,213.699005,5751879,48.41
12-06-2009,212.632996,213.051437,209.818542,211.62677,211.62677,5858678,48.41
15-06-2009,209.963013,209.963013,206.227005,207.606842,207.606842,7501814,48.41
16-06-2009,208.872101,209.758774,206.934357,207.223282,207.223282,6122262,48.41
17-06-2009,207.317917,209.076324,205.011566,206.80484,206.80484,7006364,48.41
18-06-2009,207.063873,208.563248,205.728882,206.256897,206.256897,6193528,48.41
19-06-2009,208.324142,209.444946,206.51593,209.260635,209.260635,8550128,48.41
22-06-2009,207.696503,207.9655,200.194626,202.914429,202.914429,8279719,48.41
23-06-2009,202.565735,203.731369,200.523392,202.08255,202.08255,5820937,48.41
24-06-2009,203.606827,205.345322,202.520905,203.880798,203.880798,4934025,48.41
25-06-2009,202.740082,207.173462,202.496002,207.108704,207.108704,6111823,48.41
26-06-2009,206.067612,213.315445,205.783676,211.865875,211.865875,6537814,48.41
29-06-2009,212.204605,213.101242,210.331619,211.278076,211.278076,4354862,48.41
30-06-2009,211.208344,212.807343,208.329132,210.007843,210.007843,5207245,48.41
01-07-2009,211.307968,212.403854,208.294266,208.712692,208.712692,4638923,48.41
02-07-2009,206.929382,206.929382,202.645432,203.4823,203.4823,5054073,48.41
06-07-2009,202.491013,204.553284,200.080048,204.040207,204.040207,4542162,48.41
07-07-2009,203.357758,203.830994,197.250656,197.574448,197.574448,6543033,48.41
08-07-2009,199.253143,202.241943,198.286774,200.4935,200.4935,6908197,48.41
09-07-2009,202.301727,206.451172,202.142319,204.428757,204.428757,6575756,48.41
10-07-2009,204.025269,207.905716,203.586899,206.42627,206.42627,5875139,48.41
13-07-2009,207.307953,211.467361,206.814804,211.357773,211.357773,8121729,48.41
14-07-2009,211.063889,212.568237,209.649185,211.552048,211.552048,5813308,48.41
15-07-2009,214.027771,218.520935,213.444962,218.266876,218.266876,7582314,48.41
16-07-2009,217.524658,222.042725,216.239487,220.473618,220.473618,13158136,48.41
17-07-2009,215.691528,216.92691,212.553299,214.321671,214.321671,13759582,48.41
20-07-2009,214.13736,215.616821,212.329132,214.281815,214.281815,6330640,48.41
21-07-2009,214.665375,215.143585,212.065125,213.151062,213.151062,5958651,48.41
22-07-2009,213.200867,214.296768,210.959274,213.046448,213.046448,5192791,48.41
23-07-2009,213.539597,219.781204,211.955536,217.853439,217.853439,6982474,48.41
24-07-2009,217.091293,224.403885,216.687805,222.525925,222.525925,7280989,48.41
27-07-2009,222.187195,222.540863,217.98793,221.569504,221.569504,5027574,48.41
28-07-2009,219.676605,220.578217,217.235748,219.103745,219.103745,5083985,48.41
29-07-2009,217.79863,218.082581,215.138611,217.305481,217.305481,3988896,48.41
30-07-2009,220.478592,224.892044,220.478592,221.98793,221.98793,6421178,48.41
31-07-2009,224.149826,225.504745,220.388931,220.697769,220.697769,5742243,48.41
03-08-2009,223.53215,226.102509,222.984207,225.260666,225.260666,5200018,48.41
